velocidad_bala,distancia,altura_bala,accion
-9.0,394.0,610.0,0
-9.0,385.0,610.0,0
-9.0,376.0,610.0,0
-9.0,367.0,610.0,0
-9.0,358.0,610.0,0
-9.0,349.0,610.0,0
-9.0,340.0,610.0,0
-9.0,331.0,610.0,0
-9.0,322.0,610.0,0
-9.0,313.0,610.0,0
-9.0,304.0,610.0,0
-9.0,295.0,610.0,0
-9.0,286.0,610.0,0
-9.0,277.0,610.0,0
-9.0,268.0,610.0,0
-9.0,259.0,610.0,0
-9.0,250.0,610.0,0
-9.0,241.0,610.0,0
-9.0,232.0,610.0,0
-9.0,223.0,610.0,0
-9.0,214.0,610.0,0
-9.0,205.0,610.0,0
-9.0,196.0,610.0,0
-9.0,187.0,610.0,0
-9.0,178.0,610.0,0
-9.0,169.0,610.0,0
-9.0,160.0,610.0,0
-9.0,151.0,610.0,0
-9.0,142.0,610.0,0
-9.0,133.0,610.0,0
-9.0,124.0,610.0,0
-9.0,115.0,610.0,0
-9.0,106.0,610.0,2
-9.0,97.0,610.0,2
-9.0,88.0,610.0,2
-9.0,79.0,610.0,2
-9.0,70.0,610.0,2
-9.0,61.0,610.0,2
-9.0,52.0,610.0,2
-9.0,43.0,610.0,2
-9.0,34.0,610.0,2
-9.0,25.0,610.0,2
-9.0,16.0,610.0,2
-9.0,7.0,610.0,2
-9.0,2.0,610.0,2
-9.0,11.0,610.0,2
-9.0,20.0,610.0,2
-9.0,29.0,610.0,2
-9.0,38.0,610.0,2
-9.0,47.0,610.0,2
-9.0,56.0,610.0,2
-9.0,65.0,610.0,2
-9.0,961.0,544.0,0
-9.0,952.0,544.0,0
-9.0,943.0,544.0,0
-9.0,934.0,544.0,0
-9.0,925.0,544.0,0
-9.0,916.0,544.0,0
-9.0,907.0,544.0,0
-9.0,898.0,544.0,0
-9.0,889.0,544.0,0
-9.0,880.0,544.0,0
-9.0,871.0,544.0,0
-9.0,862.0,544.0,0
-9.0,853.0,544.0,0
-9.0,844.0,544.0,0
-9.0,835.0,544.0,0
-9.0,826.0,544.0,0
-9.0,817.0,544.0,0
-9.0,808.0,544.0,0
-9.0,799.0,544.0,0
-9.0,790.0,544.0,0
-9.0,781.0,544.0,0
-9.0,772.0,544.0,0
-9.0,763.0,544.0,0
-9.0,754.0,544.0,0
-9.0,745.0,544.0,0
-9.0,736.0,544.0,0
-9.0,727.0,544.0,0
-9.0,718.0,544.0,0
-9.0,709.0,544.0,0
-9.0,700.0,544.0,0
-9.0,691.0,544.0,0
-9.0,682.0,544.0,0
-9.0,673.0,544.0,0
-9.0,664.0,544.0,0
-9.0,655.0,544.0,0
-9.0,646.0,544.0,0
-9.0,637.0,544.0,0
-9.0,628.0,544.0,0
-9.0,619.0,544.0,0
-9.0,610.0,544.0,0
-9.0,601.0,544.0,0
-9.0,592.0,544.0,0
-9.0,583.0,544.0,0
-9.0,574.0,544.0,0
-9.0,565.0,544.0,0
-9.0,556.0,544.0,0
-9.0,547.0,544.0,0
-9.0,538.0,544.0,0
-9.0,529.0,544.0,0
-9.0,520.0,544.0,0
-9.0,511.0,544.0,0
-9.0,502.0,544.0,0
-9.0,493.0,544.0,0
-9.0,484.0,544.0,0
-9.0,475.0,544.0,0
-9.0,466.0,544.0,0
-9.0,457.0,544.0,0
-9.0,448.0,544.0,0
-9.0,439.0,544.0,0
-9.0,430.0,544.0,0
-9.0,421.0,544.0,0
-9.0,412.0,544.0,0
-9.0,403.0,544.0,0
-9.0,394.0,544.0,0
-9.0,385.0,544.0,0
-9.0,376.0,544.0,0
-9.0,367.0,544.0,0
-9.0,358.0,544.0,0
-9.0,349.0,544.0,0
-9.0,340.0,544.0,0
-9.0,331.0,544.0,0
-9.0,322.0,544.0,0
-9.0,313.0,544.0,0
-9.0,304.0,544.0,0
-9.0,295.0,544.0,0
-9.0,286.0,544.0,0
-9.0,277.0,544.0,0
-9.0,268.0,544.0,0
-9.0,259.0,544.0,0
-9.0,250.0,544.0,0
-9.0,241.0,544.0,0
-9.0,232.0,544.0,0
-9.0,223.0,544.0,0
-9.0,214.0,544.0,0
-9.0,205.0,544.0,0
-9.0,196.0,544.0,0
-9.0,187.0,544.0,0
-9.0,178.0,544.0,0
-9.0,169.0,544.0,0
-9.0,160.0,544.0,0
-9.0,151.0,544.0,0
-9.0,142.0,544.0,0
-9.0,133.0,544.0,0
-9.0,124.0,544.0,0
-9.0,115.0,544.0,0
-9.0,106.0,544.0,0
-9.0,97.0,544.0,0
-9.0,88.0,544.0,0
-9.0,79.0,544.0,0
-9.0,70.0,544.0,0
-9.0,61.0,544.0,0
-9.0,52.0,544.0,0
-9.0,43.0,544.0,0
-9.0,34.0,544.0,0
-9.0,25.0,544.0,0
-9.0,16.0,544.0,0
-9.0,7.0,544.0,0
-9.0,2.0,544.0,0
-9.0,11.0,544.0,0
-9.0,20.0,544.0,0
-9.0,29.0,544.0,0
-9.0,38.0,544.0,0
-9.0,47.0,544.0,0
-9.0,56.0,544.0,0
-9.0,65.0,544.0,1
-8.0,962.0,610.0,1
-8.0,954.0,610.0,1
-8.0,946.0,610.0,1
-8.0,938.0,610.0,1
-8.0,930.0,610.0,1
-8.0,922.0,610.0,1
-8.0,914.0,610.0,1
-8.0,906.0,610.0,1
-8.0,898.0,610.0,1
-8.0,890.0,610.0,1
-8.0,882.0,610.0,1
-8.0,874.0,610.0,1
-8.0,866.0,610.0,1
-8.0,858.0,610.0,1
-8.0,850.0,610.0,1
-8.0,842.0,610.0,1
-8.0,834.0,610.0,1
-8.0,826.0,610.0,1
-8.0,818.0,610.0,1
-8.0,810.0,610.0,1
-8.0,802.0,610.0,1
-8.0,794.0,610.0,1
-8.0,786.0,610.0,1
-8.0,778.0,610.0,1
-8.0,770.0,610.0,1
-8.0,762.0,610.0,1
-8.0,754.0,610.0,1
-8.0,746.0,610.0,1
-8.0,738.0,610.0,1
-8.0,730.0,610.0,1
-8.0,722.0,610.0,0
-8.0,714.0,610.0,0
-8.0,706.0,610.0,0
-8.0,698.0,610.0,0
-8.0,690.0,610.0,0
-8.0,682.0,610.0,0
-8.0,674.0,610.0,0
-8.0,666.0,610.0,0
-8.0,658.0,610.0,0
-8.0,650.0,610.0,0
-8.0,642.0,610.0,0
-8.0,634.0,610.0,0
-8.0,626.0,610.0,0
-8.0,618.0,610.0,0
-8.0,610.0,610.0,0
-8.0,602.0,610.0,0
-8.0,594.0,610.0,0
-8.0,586.0,610.0,0
-8.0,578.0,610.0,0
-8.0,570.0,610.0,0
-8.0,562.0,610.0,0
-8.0,554.0,610.0,0
-8.0,546.0,610.0,0
-8.0,538.0,610.0,0
-8.0,530.0,610.0,0
-8.0,522.0,610.0,0
-8.0,514.0,610.0,0
-8.0,506.0,610.0,0
-8.0,498.0,610.0,0
-8.0,490.0,610.0,0
-8.0,482.0,610.0,0
-8.0,474.0,610.0,0
-8.0,466.0,610.0,0
-8.0,458.0,610.0,0
-8.0,450.0,610.0,0
-8.0,442.0,610.0,0
-8.0,434.0,610.0,0
-8.0,426.0,610.0,0
-8.0,418.0,610.0,0
